Iteration, Request to decryption time
857, 425994
858, 415254
859, 449394
860, 412150
861, 421555
862, 421820
863, 420433
864, 418682
865, 490715
866, 413813
867, 421109
868, 421896
869, 435995
870, 418238
871, 419780
872, 445038
873, 419881
874, 413191
875, 430084
876, 434841
877, 503404
878, 418474
879, 409452
880, 409253
881, 423867
882, 421210
883, 451242
884, 440844
885, 423146
886, 421520
887, 424719
888, 413020
889, 448303
890, 419466
891, 421078
892, 431908
893, 424342
894, 420722
895, 436917
896, 426871
897, 424440
898, 426224
899, 422262
900, 428850
901, 519777
902, 444089
903, 429213
904, 427145
905, 418062
906, 437587
907, 430259
908, 417778
909, 425914
910, 427992
911, 415282
912, 420919
913, 509683
914, 420929
915, 413008
916, 422986
917, 420153
918, 433602
919, 6518915
920, 444712
921, 439192
922, 1742337
923, 418492
924, 428035
925, 517152
926, 419762
927, 424421
928, 416198
929, 414833
930, 419963
931, 493291
932, 418840
933, 429601
934, 436688
935, 458573
936, 421907
937, 509229
938, 432860
939, 438400
940, 447926
941, 425926
942, 429726
943, 1885401
944, 411123
945, 435397
946, 438637
947, 417689
948, 422161
949, 526191
950, 412985
951, 423249
952, 446836
953, 413241
954, 413372
955, 427774
956, 431220
957, 433915
958, 436433
959, 440731
960, 424012
961, 511006
962, 417831
963, 434270
964, 423032
965, 423049
966, 422743
967, 427214
968, 437706
969, 419919
970, 424604
971, 449190
972, 445513
973, 495247
974, 421346
975, 446553
976, 2981176
977, 1604155
978, 418470
979, 425877
980, 418410
981, 417037
982, 419858
983, 416010
984, 421944
985, 462831
986, 420432
987, 430771
988, 413515
989, 418329
990, 410179
991, 445457
992, 445997
993, 419664
994, 424538
995, 428059
996, 416218
997, 534175
998, 414632
999, 422507
1000, 416225
1001, 419731
1002, 426326
1003, 429256
1004, 418295
1005, 417521
1006, 420789
1007, 438496
1008, 419258
1009, 513452
1010, 447436
1011, 1421264
1012, 432786
1013, 431104
1014, 418780
1015, 418721
1016, 414653
1017, 418152
1018, 420754
1019, 419683
1020, 441595
1021, 520748
1022, 452282
1023, 414416
1024, 430458
1025, 424286
1026, 431097
1027, 431431
1028, 443828
1029, 421275
1030, 449374
1031, 442557
1032, 408939
1033, 491255
1034, 412420
1035, 433321
1036, 420090
1037, 426763
1038, 417751
1039, 441628
1040, 416264
1041, 416554
1042, 421539
1043, 419438
1044, 417979
1045, 551463
1046, 463506
1047, 440797
1048, 419079
1049, 416695
1050, 437960
1051, 411102
1052, 423487
1053, 415908
1054, 421551
1055, 416282
1056, 422866
1057, 5784108
1058, 5693621
1059, 433753
1060, 419699
1061, 4214949
1062, 422042
1063, 411264
1064, 537224
1065, 422367
1066, 429466
1067, 416593
1068, 412607
1069, 508707
1070, 421612
1071, 415153
1072, 438655
1073, 425122
1074, 422338
1075, 442611
1076, 1322022
1077, 424996
1078, 421655
1079, 432879
1080, 423935
1081, 513498
1082, 429415
1083, 418825
1084, 426990
1085, 439568
1086, 493693
1087, 420504
1088, 424352
1089, 453221
1090, 2084030
1091, 420147
1092, 419728
1093, 532347
1094, 907651
1095, 421957
1096, 426994
1097, 439384
1098, 420157
1099, 415849
1100, 404294
1101, 441786
1102, 414811
1103, 432638
1104, 429779
1105, 4212513
1106, 442287
1107, 419997
1108, 760607
1109, 448439
1110, 422637
1111, 420143
1112, 419112
1113, 438159
1114, 432928
1115, 450414
1116, 410927
1117, 527875
1118, 415287
1119, 442049
1120, 423157
1121, 424702
1122, 412090
1123, 411459
