Iteration, Request to download time, Total length, Trials
356, 39189, 5875584, 0
357, 26006, 5875584, 0
358, 57231, 5875584, 0
359, 25245, 5875584, 0
360, 62044, 5875584, 0
361, 25073, 5875584, 0
362, 25145, 5875584, 0
363, 25174, 5875584, 0
364, 25085, 5875584, 0
365, 25232, 5875584, 0
366, 25122, 5875584, 0
367, 25241, 5875584, 0
368, 25095, 5875584, 0
369, 45912, 5875584, 0
370, 26165, 5875584, 0
371, 24971, 5875584, 0
372, 25520, 5875584, 0
373, 25153, 5875584, 0
374, 25484, 5875584, 0
375, 25072, 5875584, 0
376, 27410, 5875584, 0
377, 25531, 5875584, 0
378, 25062, 5875584, 0
379, 25465, 5875584, 0
380, 59031, 5875584, 0
381, 25206, 5875584, 0
382, 33128, 5875584, 0
383, 25707, 5875584, 0
384, 59134, 5875584, 0
385, 25758, 5875584, 0
386, 25508, 5875584, 0
387, 25677, 5875584, 0
388, 24943, 5875584, 0
389, 25922, 5875584, 0
390, 24988, 5875584, 0
391, 25051, 5875584, 0
392, 25181, 5875584, 0
393, 24588, 5875584, 0
394, 55510, 5875584, 0
395, 38237, 5875584, 0
396, 24742, 5875584, 0
397, 25216, 5875584, 0
398, 24842, 5875584, 0
399, 25195, 5875584, 0
400, 25192, 5875584, 0
401, 25325, 5875584, 0
402, 25264, 5875584, 0
403, 25155, 5875584, 0
404, 25168, 5875584, 0
405, 25174, 5875584, 0
406, 25134, 5875584, 0
407, 25183, 5875584, 0
408, 25060, 5875584, 0
409, 25603, 5875584, 0
410, 24568, 5875584, 0
411, 25087, 5875584, 0
412, 25068, 5875584, 0
413, 26785, 5875584, 0
414, 25433, 5875584, 0
415, 24986, 5875584, 0
416, 25042, 5875584, 0
417, 53437, 5875584, 0
418, 24903, 5875584, 0
419, 38661, 5875584, 0
420, 24900, 5875584, 0
421, 62976, 5875584, 0
422, 25331, 5875584, 0
423, 25170, 5875584, 0
424, 28041, 5875584, 0
425, 25055, 5875584, 0
